id,class,title,youtuber,subscribers,views,like,c_num,c1_name,c1_content,c1_like,c2_name,c2_content,c2_like,c3_name,c3_content,c3_like,c4_name,c4_content,c4_like,c5_name,c5_content,c5_like
1,0,직장인 공감 100% 짤! 주말에만 생기는 이상한 능력,자취남자,8.9만,161501,445123,5,초코별,나만 그런줄;; 직딩은 힘들다…,1454,비정원,이건 과학임. 회사 근처만 가면 자동으로 체력 0됨.,1045,치킨한입남김,직장인 버전 에너지 관리 시스템 있어야됨 ,4016,꾸밍,저도 직딩할래요 취업 시켜주세요….,7307,탑솔고양이,다들힘내…내힘들다…,6737
2,0,화성에 다른 외계인은 없을까?,궁금한건못참아,33만,433607,667250,3,광속질주,과학자들의 낭만이 있다니까,6225,최강화,귀엽네요,9821,쫄보왕,낭만적이야,6128,,,,,,
3,0,지구에서 마지막으로 꼭 먹고 가야하는 맛집 3곳,맛간집,108만,620635,620655,5,무적가,여기에 추가로 경기도 하남에 있는 <너무밥집>,6269,마라5,다 우리집 근처에 있네~~ 함 가봐야 겠당~~,9894,팩폭유발자,아 배고파 왜 이 시간에 이런걸,4721,대충사는중,근데 두번째 거기는 좀 가격이 창렬임,9645,숨은고수,내일 점심은 저거다,3040
4,0,악플러 고소 진행 했습니다 ^^,조조커플,6.6만,577796,307367,5,너가알아,멋있어요 언니,1184,쉴디원,다들 너무 이 커플한테만 뭐라해,3647,짜증을참지못함,저희는 늘 조조커플 편입니다!,7003,월급루팡,너무 마음고생 심했겠다 ㅠㅠ,7218,이불킥장인,욕 먹을 짓을 안 하면 되는거 아님?,3205
5,1,저는 안 믿고 지구에 남습니다.,공구남TV,12.9만,930246,152838,5,민트고양이,멋있다… 진짜 용기다,3635,오기좋,근데 남아서 뭐 먹고 살 거임?,6916,나른한청춘,"나도 남을래, 여기가 내 집이야",4455,딸기머핀,믿음보다 평온을 택한 자,8821,야루,지구야아아악 끝까지 버텨보자아아아악,1358
6,1,일론머스크도 안간다는 화성 근황,난다알아,201만,698856,481460,5,킹메이커,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7093,압둘라마,이게 말이 됨?,7072,아묻따,근데 이거 다 AI가 생성한 사진 아님?,3524,퇴근요정,다들 이거 믿고 화성 안 갔으면 ㅋㅋㅋ,7059,삼시세끼,걍못 가는 놈이 자기 위로 하는것 같은디,6631
7,1,"화성에 가면 이것도 없고, 저것도 없고",딥포커스,3.4만,828803,111068,5,제트스트림,네 다음 거지,9683,제로섬,개웃기네 너무 억지라,9439,무념무상,눈물 닦고 말해,2591,괄호열고닫아,저 포도는 존나 실거야!,7007,프로탈주러,댓글 진짜 너무 놀리네,1890
8,1,성장기 아이들에게 화성이란..,반포맘TV,5.5천,568655,28604,4,마스터키,엄마를 잘못 만난 죄,8742,에테르,지구는 곧 없어져요 어머니,6778,내일은없다,진짜 아이한테 좋은 것이 뭘까요,4814,전설의고인문,돈부터 벌여야 할 것 같은데 어머니,9303,,,
9,2,님들 이걸 진짜 믿나요? 지구멸망이 구라인 3가지 이유,커피한잔수다,4.4만,337861,857695,5,밥먹니냐,반박불가… 근데 이상하게 불안함,5110,초코우유조아,나 이 영상 보고 마음 좀 놓였음,9628,유리별,과학자도 저러는데 믿어야지,2816,익명고양이,댓글 분위기 너무 평화로워서 더 무서움,6398,재우,3가지 중에 하나만 틀려도 큰일인데요,8474
10,2,화성에 '다음기회'에 가면 좋은 이유 3가지!,블러드롭,45만,672662,58789,5,스피드건,다음기회가 있을거라고 생각한게 진짜 놀랍다,5426,대충살어걍,맞아요 정부가 다음기회가 있다면 있는거죠~~,4560,사장님나빠요,아줌마 다음기회란건 그냥 버릴려는 수법이라니까?,5918,라온,오케이 한놈 제쳤고,9667,내일의내가,다 개발해놔주면 우리 가서 살기만 하면 되니까 개꿀,6085
