id,class,title,writer,like,content,c_num,c1_name,c1_content,c1_RN,c2_name,c2_content,c2_RN,c3_name,c3_content,c3_RN,r1_name,r1_content
1,0,배달 드론 추락 사고 요즘 왜 이렇게 자주 일어남?,익명,512,"오늘도 드론 하나 내 머리 위로 지나가다 그대로 추락함ㅋㅋ<n>치킨이 아니라 불덩이가 배달됐더라.<n>전기 또 끊겨서 그런 거 아냐? 요즘 하루에 두세 번씩 꺼졌다 켜졌다 하잖아.<n>조명도 깜빡깜빡하고 공기정화기도 자꾸 멈추고,<n>밤엔 완전 정전이라 하늘도, 사람도 다 멈춘 느낌임.<n><n>관리국은 또 “전력 재분배 중”이라는데<n>그 말 벌써 3년째야ㅋㅋ<n>이 정도면 재분배가 아니라 그냥 ‘절전 생존 모드’ 아니냐?",2,익명1,우리 동네도 오늘 두 대 떨어짐. 냄새 진짜 장난 아님ㅋㅋ,0,익명2,전력선 꼬인 거 맞음. 우리 아버지가 배급소 일하는데 시스템 반쯤 죽었대.,0,,,,,
2,0,이웃집 로봇이 밤마다 우네 잠좀자자,익명,534,"옆집 돌봄 로봇 있거든?<n>요 며칠째 밤마다 이상한 소리 내.<n>처음엔 진동음인가 했는데, 진짜 사람 우는 소리 같음.<n>처음엔 불쌍해서 문 두드려볼까 하다가,<n>그 집 사람도 이미 떠났다는 거 생각나서 그냥 멈췄다.",3,익명1,개소름 ㄷㄷ,0,익명2,우리 동 쪽도 그런 로봇 많음,0,익명3,"AI 정서 모듈 고장나면 그런다던데, 울음 루프 돎. 무섭다",0,,
3,1,3구역 아들 팔면 2구역 티켓 산다더라 — 요즘 진짜 돌아버린 세상임,익명,1291,"진짜 이런 말까지 들을 줄 몰랐다.<n>“아들 장기 팔면 2구역 티켓 산대.”<n>농담인 줄 알았는데, 브로커가 실제로 돌아다니고 있대.<n>‘이주권 보증인 서류’ 만들어준다면서 가짜 신분으로 거래 중이라더라.<n><n>정부는 여전히 말하잖아, “3·4구역에도 다음 기회가 있다”고.<n>근데 그 ‘기회’가 대체 뭐냐?<n>사람을 팔아야 올라가는 시스템이면, 이건 사회가 아니라 장기 시장임.",3,익명1,우리 동네도 브로커 돌고 있음. 신장 하나에 얼마래. 듣고 토할 뻔.,0,익명2,진짜 세상 끝난 거 맞다. 살아남는 게 아니라 남의 목숨으로 교환하는 거잖아.,0,익명3,뉴스는 또 ‘불법 거래 단속 강화’만 반복 중ㅋㅋ 단속은 누굴 잡는 건데?,0,,
4,1,다음 기회 있다면서 왜 사람은 계속 사라지냐? 뉴스는 입 다물었네,익명,1104,"요즘 뉴스에서 “정부, 3·4구역 대상 2차 이주 계획 검토 중” 이랬잖아.<n>근데 그 발표 이후로 우리 구역 사람들 계속 없어져.<n>등록센터 갔다는 사람들, 돌아온 적 한 번도 없음.<n><n>그런데도 뉴스는 조용해.<n>“절차상 지연”이라며, “전산 갱신 중”이라며.<n>근데 그 전산이 사람 목숨보다 중요해?<n><n>거리엔 실종 전단이 늘고,<n>드론은 밤마다 ‘이주 준비 캠페인’ 광고만 내보내고 있어.<n>다음 기회가 있다는 말, 이제는 저주처럼 들린다.<n>이건 희망이 아니라, 줄 세워놓고 천천히 지워가는 거야.",2,익명1,우리 회사도 그래. 지난주에만 세 명 사라졌어.,0,익명2,솔직히 요즘은 뉴스보다 실종 알림이 더 현실 같아.,0,,,,,
5,2,"브로커 얘기 계속 돌던데, 정부가 진짜 가만히 둘 리 없잖아",익명,643,"요즘 진짜 이상한 소문 너무 많지 않냐?<n>“이주권 만들어준다”, “가짜 서류로 2구역 보낸다”, “애 맡기면 티켓 준다” 이런 얘기들.<n>솔직히 들을 때마다 헛웃음 나옴.<n>정부가 그걸 모르고 가만히 있을 리가 없잖아.<n>우리 정보 다 연결돼 있는데, 그런 거래가 어떻게 숨어서 돌아다녀?",2,익명1,브로커 다 사기꾼이지 뭐,0,익명2,그럼 다른 살 수 있는 방법 있어?,0,,,,,
6,2,생존권 거래까지 가는 건 선 넘은 듯. 다음 기회 있다잖아 좀 기다려라,익명,519,"솔직히 요즘 3,4구역 사람들 생존권 거래하는 거 보면 좀 너무 간 거 같지 않냐<n>살고 싶은 마음 이해는 하는데, 이게 사람 목숨을 사고파는 수준이잖아<n>정부가 다음 기회 있다고 계속 방송 때리는데 왜 이렇게 다들 급해하냐<n>브로커들한테 당하는 사람도 늘고, 명단 조작됐다는 루머도 도는 거 알잖아<n>이건 진짜 구원도 아니고 거래야. 생존이 이렇게 비싸졌냐",2,익명1,다음 기회라… 지난번에도 그렇게 말하다가 절반이 사라졌잖아,0,익명2,그래도 누가 뭐래도 다들 결국 ‘살아남고 싶다’ 이거 하나잖아,0,,,,,
7,3,"3,4구역은 기다리면 죽는다. 지금이라도 2구역으로 가야된다",익명,346,"야, 냉정하게 생각해봐. 정부가 “다음 기회 있다” 이러는 건 우리 달래는 방송용 멘트일 뿐이야. 통계, 정보, 실제 명단 풀린 거 보면 2구역 우선이지 3·4구역은 거의 보류 대상이다. 화성선·우주선·UN-5 연결망까지 신뢰하는 건 내가 보기엔 합리적 판단이야 — 지구가 멸망 직전인 건 이미 증거가 쌓였고, 현실적으로 생존 확률은 화성 쪽이 훨씬 높아.",3,익명1,맞아… 다음 기회 운운하던 놈들은 다 말 바꿔,0,익명2,장기매매 루머 본 순간부터 난 진짜 모든 걸 의심하게 됐음.,0,익명3,그래도 난 애 데리고 어떻게 가냐… 대체 어디서부터 시작해야 하는 거냐?,0,,
8,3,이건 배신이 아니라 선택이야. 결국 가는 사람만 산다,익명,346,"맨날 배신이래. 웃기지 않냐?<n>지구는 이미 썩었고, 화성이 그나마 숨통 트이는 곳인데 안 가면 뭐 어쩔 건데.<n>정부 욕하면서 기다리다 굶어죽을 거면 그냥 조용히 있어.<n>이건 배신이 아니라 판단이야. 늦게 눈뜬 놈들이 뒤쳐진 거라고.<n>가는 놈이 이기는 거고, 남는 놈이 잊히는 거야. 단순하잖아.",3,익명1,말은 더럽게 거친데 진짜 현실임ㅋㅋ,0,익명2,"배신이라 욕하는 애들, 사실 질투잖아",0,익명3,인정… 이젠 도덕보다 산소가 중요하지,0,,
9,3,정부 욕할 시간에 돈이나 준비나 해라. 이번이 마지막이다,익명,1034,"맨날 정부 탓만 하네. 그게 뭐 달라지냐?<n>지금 명단 다 닫히고 있다니까. 제동이 아니라 끝이야, 끝.<n>3,4구역 방송 믿고 멍하니 앉아 있으면 그냥 정리된다.<n>화성선 타려면 감정 말고 돈, 루트, 정보야.<n>냉정해져. 욕으로는 못 살아남아.",2,익명1,맞는 말이긴 한데… 준비할 돈도 없는 사람은 그냥 끝이라는 거냐?,0,익명2,"욕한다고 뭐 달라지냐, 지금은 움직이는 사람이 이기는 판임.",0,,,,,
10,3,다음 기회? 이건 그냥 우리 여기 버리고 갈려는 수작질이야,익명,346,"솔직히 이제 다 보이잖아.<n>“3,4구역은 다음 기회 있다” 그 말, 순한 말로 포장된 통보야.<n>실제로는 정리 대상 명단이라는 거 다 알잖아.<n>정부는 시간 끌면서 불만 잠재우고, 그 사이 2구역 사람들 이미 떠났다.<n>우리한텐 남은 거라곤 끊긴 전력, 말라붙은 식수, 그리고 기다림뿐.<n>기다리면 살 줄 아냐? 기다리면 죽는다.",3,익명1,“기회 있다” = “너흰 대상 아님” 이 말이잖아.,0,익명2,기다리다 뉴스 한 줄로 끝나는 거지.,0,익명3,진짜 웃기네. 남은 사람한테 ‘희망’이라는 단어 던져놓고 튀는 거.,0,,
