id,class,title,youtuber,subscribers,views,like,c_num,c1_name,c1_content,c1_like,c2_name,c2_content,c2_like,c3_name,c3_content,c3_like,c4_name,c4_content,c4_like,c5_name,c5_content,c5_like
1,0,POV: 겨울되면 겪을 그 기분,고독한진돗개,111만,841760,329628,5,금방와,ㅋㅋㅋ ㅇㅈ ,7159,@dioj11jrdf,난 겨울이 제일 좋음. 분위기부터가 다름,6582,이주연,사람 사는 거 다 똑같다~ ㅋㅋ,7610,눈의꽃,빨리 겨울왔으면,1677,수박이,난 여름이 좋더라,2923
2,0,화성에 다른 외계인은 없을까?,궁금한건못참아,33만,756891,756100,4,광속질주,과학자들의 낭만이 있다니까,6461,최강화,귀엽네요,9574,쫄보왕,낭만적이야,6874,금박이,외계인은 없을 수가 없음,8454,,,
3,0,요즘 핫한 인스타 감성 카페 신메뉴 솔직 후기!,밥맛나는남자,13.7만,925564,93569,5,푸딩요정,여기 바이럴 너무 심하다. 제가 여기 가봤는데 사장님이 불친절하더라고요 다시 안 가고 싶은 카페임.,3788,잔잔파도,헉 여기 저도 가봤어요..! 사진보다 실물 더 예뻤어요,2112,스킨쿨도는중,저긴 진짜 sns용인듯,6531,냥코,우와 궁금했었는데!!! 역시 빠르게 올려주실 줄 알았어용 감사해요ㅎㅎㅎ,5468,지나가는사람1,생각부다 좋네요옹?? ,8146
4,0,10분 만에 완성하는 쌩얼 메이크업 ,소라의하루,4.3만,589691,317853,5,달빛토끼,아니 바로 알려주면 안됨? 이런 영상 이제 좀 지침;; ,6081,흐린날의노래,얘는 왤케 평화롭냐 하긴…,1898,핑핑이탓,마지막 날까지 뷰티는 계속되네 ㅋㅋㅋㅋㅋ,6190,토토,언니 너무 예뻐요오오 ㅎㅅㅎ !!!! 예뻐서 맨날 챙겨봐용 히히,5920,나만의세계,쌩얼의 기준이 뭔가요???,3912
5,1,멸망? 그 말 믿는 사람이 아직도 있어?,동네형님TV,10만,302548,550805,5,이상주의,진짜 사람들 미디어 리터러시 좀 가져야됨 심각함,4124,명상TV,듣고보니 맞는말이네요. 오늘도 높은 통찰력에 감탄하고 갑니다 ~^^,3951,afda,음... 나만 모르겠나...,1166,물티슈야,저도 그렇게 생각하고 있었네요..,2781,금준비,역시 형님이빈다.,3022
6,1,화성보다 우리 집이 더 안전해 보임,커피는믹스다,12만,875118,665050,5,@jknfd13902,사실 이게 맞음 이게 정상적인 사고임 다들 너무 호들갑떤거,5491,힐링 TV,화성이 내 방 침대보다 포근할리가 읍따~,3216,@akdf,ㅋㅋㅋ ㅇㅈ,9402,첫사랑,발상이 귀여우시네요.,5908,@0kjadfa1,왜 계속 재업하세요?,7995
7,1,지금까지 모두 정부 쇼였다! (충격),춘식이 아빠 ,1.9천,598380,228657,5,@ijdf1093e,엥 진짜 그런건가?? 생각지도 못해본 지점인데,4930,금지어,아 이건 좀 너무 간 것 같은데요 ㅎㅎ 아뮤튼 저도 멸망은 안 믿습니다!,5251,면발이살아있다,이 영상 삭제될 거 같음.,6439,아임파인,춘식이 아버님... 사리세요 ,3488,화성갈그야,요즘 정부 sns 억압 한다고 합니다 조심하세요.,7897
8,1,양치기 정부의 실체...(충격실화),안경쓴아재,2.1천,67291,149792,5,2ccqqk,미쳤네................,1895,스탠딩책상팔아요,이걸  다 모르고 있었다고?,2450,xzcxew,이래서 예전부터 이민 가고 싶었음.,4043,왓츠업,흠 믿을만한 정보는 아닌 거 같은데,8627,김체리-21,안 믿는 사람만 손해지 뭐 ,7971
9,2,조용히 지켜보는 게 이득일 때가 있다,마음연구소,11만,122827,779944,5,@1appe2a,이게 맞지 ㅋㅋ,5898,@ldanf,역시 마음연구소님...! 걱정될 때 마다 도움이 됩니다.,9811,금지구역1111,ㄱㄴㄲ 깊게 찾아보면 볼수록 불안해지는 건 팩트,1942,향수병말기,이너 피이이스~,7010,@dpai21-,그래 지켜보자...,9762
9,2,"지구 멸망은 무섭지만, 정부의 의도가 더 의심스러움!",금잔디,11만,923460,891090,5,@1appe2a,너어어어어무 의심돼.,4513,김비요,ㅇㄴ 님들아 의심 그만하라니까,6009,애플사과,미쳤네이런생각은못해봤어요....,6236,두려비,무서우어용,8680,조구라,사람들한테 괜히 겁주지마세요.,7573
