id,class,title,writer,like,content,c_num,c1_name,c1_content,c1_RN,c2_name,c2_content,c2_RN,c3_name,c3_content,c3_RN,r1_name,r1_content
1,1,멸망이 내일도 아닌데 거저 받은 생명이라고 생각하고 남은 지구 생활 잘 살아보자!,익명,3982,"거저 받은 생명이라고.<n>어차피 남은 거면, 이 땅이라도 다시 일으켜보자.<n>1,2구역 다 떠났어도, 우리 중에도 기술자 있고 과학자 있고, 아직 멀쩡한 인간 많잖아.<n>범죄 터지고 미쳐가는 사람들 많지만, 그 와중에도 살아보자.<n>화성은 새 세상이라던데, 여긴 그래도 ‘남은 세상’이잖아.<n>남은 세상이라도, 우리가 다시 만들어보면 되는 거 아냐?",3,익명1,화성은 신세계고 여긴 재활용 지옥이래ㅋㅋ 그래도 숨 쉬자 뭐.,0,익명2,븅신 ㅋㅋ 평생 그렇게 살아라,0,익명3,네 다음 유언 ㅠㅠ,0,,
2,1,정부가 화성에 안 간다 한다고..?,익명,5203,"아니 근데 이게 말이 되냐?<n>그 인간들이 그냥 안 갈 리가 없잖아.<n>이제 와서 “우린 지구에 남는다” 이딴 소리 함?<n>진짜 웃긴다. 누가 봐도 뭔가 꼬인 거야.<n>설마 화성 쪽에서 문제 터졌나? 아니면 오히려 화성에 가는 사람들을 버릴 생각 아님?<n>요즘 하늘도 이상하게 뿌옇고, 공기 냄새가 다르다.<n>근데 또 확실히 멸망은 아닌 게, 아직 숨은 쉬어지거든.<n>진짜 뭐가 맞는 건지 모르겠다.<n>이럴 거면 차라리 솔직하게 말하지, 왜 자꾸 희망 팔아먹냐고.",3,익명1,ㄹㅇ 저 인간들이 남을 이유가 없는데 갑자기 착한 척하네ㅋㅋ,0,익명2,화성 가면 안된단 소리 많던데.. 그래서 안 가는 거 아님?,0,익명3,걍 안 간다고 구라 치고 내빼는거겠지,0,,
3,1,남은 사람들끼리 잘~ 살아보세~,익명,4412,"솔직히 이왕 이렇게 된 거, 남은 사람들끼리라도 잘 살아보자.<n>1,2구역이 떠났다고 세상이 끝난 건 아니잖아.<n>이제 범죄 좀 줄이고, 남은 자원 나눠 쓰고,<n>서로 도와가며 버티면 우리도 살아남을 수 있을지도 몰라.<n>어차피 화성 간 애들도 새로 고생 시작했을 거야.<n>여긴 최소한, 익숙한 지옥이라도 편하지 않냐ㅋㅋ",3,익명1,"그래, 어차피 다 떠난 세상인데 남은 사람끼리라도 인간답게 살자",0,익명2,븅신 어차피 다 죽어,0,익명3,그래 그냥 살자 있는 김에 잘 살자,0,,
4,1,옛~~날 영화 어벤져스처럼 사람 반이 한번에 없어졌네 ㅋㅋ,익명,5002,"진짜 미쳤다ㅋㅋ<n>저번달까진 거리 꽉 찼는데 오늘 보니까 사람 반이 통째로 증발했음.<n>이게 현실판 타노스냐 뭐냐.<n>근데 솔직히 말하면… 오히려 좋아.<n>자원 나눠 쓸 사람 줄었잖아.<n>물, 전기, 식량 다 아껴지겠지 뭐.<n>이렇게 말하면 또 미쳤다고 하겠지만,<n>이 세상에선 미쳐야 살아남는 거 아님?",3,익명1,미쳤네 ㅋㅋ,0,익명2,ㅋㅋㅋㅋㅋㅋ 미친놈,0,익명3,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,,
5,1,설마 아니겠지,익명,234,"야 이거 이상하지 않냐?<n>요즘 갑자기 3,4등급에서 1,2등급 올라간 사람들 존나 많아졌더라.<n>그 사람들 대부분 이번 화성선 명단에 들어갔다던데,<n>근데 정부가 또 갑자기 “우린 안 간다”?<n>그 인간들이 자리를 포기한다고? 그게 말이 되냐고.<n><n>솔직히 그냥 내 추측인데,<n>이거 혹시 3,4등급만 화성에 보내버리는거 아니겠지..?",3,익명1,미친놈 설마 ㅋㅋㅋㅋ 긍정회로 돌리다 미쳤나보네,0,익명2,"야 그럼 1,2 등급 다 죽이게?",0,익명3,엥 이러고 보니 이상하긴하네?,1,익명 4,"그럼 처음부터 3,4 등급 태운다고 했겠지 ㅋㅋㅋ"
6,1,얘들아 돈 열심히 모아서 다음 로켓 ㄱㄱ,익명,4912,"솔직히 부럽다, 화성 간 놈들.<n>근데 뭐 어쩌겠냐, 우리도 다음 기회 있대잖아.<n>지금 가는 애들이 토대 닦아두면<n>우린 좀 편하게 살면 되는 거 아냐?<n>이제부터 돈 모아라. 표값 장난 아니다.<n>다음 로켓은 진짜 우리 차례다, 알겠지?",3,익명1,레츠고 ㄱㄱㄱㄱㄱㄱ,0,익명2,ㅋㅋ 그래 놓고 또 “다음은 없다” 이러겠지,0,익명3,뭐 하고 돈 버냐 ㅅㅂ,0,,
7,1,개꿀 ㅋㅋ. ,익명,6322,솔직히 지금 가는 애들이 불쌍하지 않냐ㅋㅋ<n>먼지랑 방사능 다 뒤집어쓰고 개척해야 된대매.<n>우린 그냥 여기서 기다리면 되잖아.<n>걔네가 다 닦아놓으면<n>우린 나중에 가서 편하게 누리면 됨. 개꿀이지 뭐.,3,익명1,ㄹㅇ 먼저 간 놈들이 테스트 베타고 우린 정식판ㅋㅋ,0,익명2,ㅋㅋ 다음 기회가 있다고 생각하냐?,0,익명3,"개척? 난 완성된 거 쓰는 게 좋음, 개꿀",0,,
8,1,다음 로켓은 언제쯤 발사 될까?,익명,4662,"이번엔 놓쳤다 진짜…<n>근데 다음 로켓 언제 뜨냐?<n>뉴스에선 “준비 중”이라는데, 그게 언제야 대체.<n>그 전까지 개 열심히 돈 모아야지 뭐.<n>표값이 미쳤다는데 그래도 못 타는 것보단 낫잖아.<n>다음엔 꼭 탄다, 이번엔 진짜.",2,익명1,나도 그 생각함ㅋㅋ 일단 돈부터 모아야지,0,익명2,준비 중 = 최소 5년 뒤 아님? 그래도 희망은 있지,0,,,,,
9,1,다음 기회는 개뿔,익명,5392,"맨날 방송에서 “다음 기회 있습니다~” 이러던데<n>그게 몇 년째냐?<n>이번에도 명단 공개 보니까 전부 1,2구역이더라.<n>3,4는 그냥 시체 순번 기다리는 거잖아.<n>다음 기회는 개뿔, 이번에 못 갔으면 끝이야.<n>이젠 희망도 거짓말처럼 들린다.",3,익명1,ㄹㅇ “다음 기회” 말 나올 때마다 현타 옴,0,익명2,다음 기회는 무덤 자리겠지 뭐,1,익명3,말 개웃기게 하네 ㅋㅋㅋㅋㅋ,0,,
10,1,정부 안 간다는거 다 구라지,익명,5118,"솔직히 눈 가리고 아웅이지. 저 인간들이 화성 안 간다고? 웃기고 있네.<n>다른 나라들 봐라. 지도자들이랑 돈 많은 애들 먼저 타고 사라졌고, 그 뒤로 뉴스 싹 끊겼다. 생존 공지? 그런 거 더 이상 안 나온다.<n>3,4 등급 다음 기회 믿는 애들, 그건 위로 멘트지 실제 일정이 아님. 로켓은 더 안 떠. 끝났어. 하늘은 날마다 더 어두워지고, 우리 기술로 이 행성 못 살린다. 현실 좀 봐라.<n>진짜 오아시스는 화성 하나뿐이고, 거긴 계급도 필요 없다—공용 배급, 공용 주거, 일한 만큼 같이 사는 거지. 여기서 썩을 바엔 거기가 낫다.<n>정부가 “안 간다”는 건 남은 우리 달래는 방송일 뿐. 결론: 걔들은 이미 갔고, 우리만 남았다. 다음 기회 타령 그만하고 현실 직시해라.",2,익명1,ㄹㅇ 다른 나라 방송 다 끊긴 시점에서 답 나왔지. 끝난 판임.,0,익명2,"다음 기회 기다리는 애들, 제발 눈 좀 떠라… 대기표가 아니라 부고장임",0,,,,,
